Latitude,Longitude,Speed,RoadType
34.83972407100399,-117.22147423665011,78.63796967317775,highway
34.34706672351284,-117.13690452106283,91.11856217001586,service road
34.24497476724442,-117.37091040195678,10.47274200072874,highway
34.64656395210748,-117.3778444413184,34.61544487984137,service road
34.075960767818394,-117.53032743806355,77.6059336346577,highway
34.99099495603602,-117.54007604183182,17.751992621357637,highway
34.08204521484075,-117.9689167867737,51.812696655324544,service road
34.675568022185615,-117.35215249361102,43.83657681536387,service road
34.87785763828597,-117.23075177545405,22.014518608777635,service road
34.09508033232768,-117.56209846058547,35.48263091765035,service road
34.97460902982445,-117.65101562644573,40.91912620227812,service road
34.06997165451435,-117.15919056272404,37.34586321078011,service road
34.41163980605607,-117.94999781145091,99.64038333840783,highway
34.800300726971585,-117.24236394277492,47.11788719782217,service road
34.724363386886104,-117.1684406920856,67.06326468886104,highway
34.24973247198005,-117.04080496501581,75.97340406700656,service road
34.99388829369215,-117.81856984452801,56.520497010148965,highway
34.52907804042605,-117.62897444398789,87.52344920576887,highway
34.360832433821535,-117.28954038854587,30.72608604595908,service road
34.380298316380234,-117.17267178814956,27.18734362380402,service road
34.4859574837791,-117.12885039030606,63.11352535176673,service road
34.19188316566992,-117.76098539104184,68.2715644708958,service road
34.32185098605087,-117.97042000668333,4.184015160584432,highway
34.24505110292264,-117.42012186091544,2.4836160315165,highway
34.087933862195555,-117.73364405559734,1.627881305074319,highway
34.37434447357856,-117.06233477407866,72.40957461857491,highway
34.627684481090704,-117.69470352245439,28.06036047767383,service road
34.52930902739196,-117.17471956980583,34.699534641499405,service road
34.84766831068523,-117.5859225919939,91.83253656017015,service road
34.32978051766528,-117.63289689077412,22.92512078029423,service road
34.497803642629826,-117.57772184817648,89.0329815422756,highway
34.66952471087429,-117.02159478475015,71.31533970628796,service road
34.53677158462312,-117.78225561603318,13.3312281656093,service road
34.95812358699135,-117.01968847553803,12.079230184152667,service road
34.6502478171278,-117.09775840333685,76.3479019077336,service road
34.447030157922825,-117.89426871916737,21.362664738624893,highway
34.51801584169987,-117.16945227910405,47.564113639114645,service road
34.62689044217987,-117.70758643249536,36.362227172986195,service road
34.107586030132936,-117.13862547812239,11.099763047003218,service road
34.027729053390516,-117.02907624595257,1.324133095257185,service road
34.98153470814828,-117.92702371190015,93.06870182703382,service road
34.866074544530754,-117.33711752873178,6.576797675277413,service road
34.80810545087452,-117.19263883806474,12.564529991108465,highway
